Name,Lat,Long,Country,Pop,,
KOLA,67.466811,32.473832,RUSSIA,"36,940",,
KURSK,51.676772,35.606607,RUSSIA,"127,456",,
LENINGRAD,59.846021,29.041052,RUSSIA,"118,588",,
LENINGRAD-2,59.8305,29.0571,RUSSIA,"3,003",,
NOVOVORONEZH,51.2833,39.2167,RUSSIA,"214,964",,
NOVOVORONEZH-2,51.275,39.2,RUSSIA,"214,964",,
OBNINSK,55.084167,36.569722,RUSSIA,"255,025",,
SMOLENSK,54.1667,33.2333,RUSSIA,"85,014",,
VILYUCHINSK,59.931389,30.258056,RUSSIA,"4,738,290",,
VOLGODONSK,47.599342,42.371878,RUSSIA,"192,943",,
BOHUNICE,48.494444,17.681944,SLOVAK,"373,555",,
KRSKO,45.937981,15.516218,SLOVENIA,"316,706",,
KOEBERG,-33.676152,18.433098,SOUTH AFRICA,"665,702",,
ALMARAZ,39.8081,-5.69694,SPAIN,49981,,
ASCO,41.2,0.56667,SPAIN,"55,142",,
COFRENTES,39.2167,-1.05,SPAIN,"37,879",,
JOSE CABRERA,40.349167,-2.884444,SPAIN,"43,408",,
SANTA MARIA DE GARONA,42.774412,-3.206815,SPAIN,"69,112",,
TRILLO,40.700464,-2.623286,SPAIN,"10,907",,
VANDELLOS,40.950996,0.866517,SPAIN,"183,041",,
AGESTA,59.206022,18.082872,SWEDEN,"1,675,114",,
BARSEBACK,55.744444,12.920833,SWEDEN,"1,521,981",,
FORSMARK,60.402788,18.173758,SWEDEN,"20,081",,
OSKARSHAMN,57.414743,16.671728,SWEDEN,"26,050",,
RINGHALS,57.260141,12.111538,SWEDEN,"115,583",,
BEZNAU,47.552148,8.228175,SWITZERLAND,"1,171,332",,
GOESGEN,47.365781,7.967914,SWITZERLAND,"508,697",,
LEIBSTADT,47.601314,8.183893,SWITZERLAND,"34,509",,
LUCENS,46.692778,6.8275,SWITZERLAND,"740,916",,
MUEHLEBERG,46.969029,7.26882,SWITZERLAND,"778,194",,
CHIN SHAN,25.286254,121.587677,TAIWAN,"3,839,799",,
KUOSHENG,25.202723,121.662638,TAIWAN,"3,839,799",,
LUNGMEN,25.038611,121.924167,TAIWAN,"1,726,167",,
MAANSHAN,21.958257,120.751748,TAIWAN,"44,488",,
BERKELEY,51.6925,-2.493611,UK,"1,079,621",,
BRADWELL,51.741389,0.896944,UK,"919,287",,
DOUNREAY,58.57814,-3.75233,UK,"15,098",,
DUNGENESS,50.913889,0.963889,UK,"311,808",,
HARTLEPOOL,54.634824,-1.18081,UK,"949,898",,
HEYSHAM,54.029927,-2.914384,UK,"565,747",,
HINKLEY POINT A,51.208739,-3.133743,UK,"514,362",,
HINKLEY POINT B,51.209034,-3.127477,UK,"514,362",,
HUNTERSTON A,55.720224,-4.896656,UK,"380,921",,
HUNTERSTON B,55.722222,-4.89,UK,"380,921",,
OLDBURY,51.648671,-2.57107,UK,"1,079,621",,
SELLAFIELD,54.4205,-3.4975,UK,"121,454",,
SIZEWELL,52.215,1.61972,UK,"160,378",,
TORNESS,55.968423,-2.408406,UK,"56,262",,
TRAWSFYNYDD,52.924864,-3.948439,UK,"68,378",,
WINFRITH,50.682,-2.261,UK,"507,661",,
WYLFA,53.4167,-4.48333,UK,"66,024",,
CHERNOBYL,51.389553,30.099147,UKRAINE,"24,128",,
KHMELNITSKI,50.302462,26.646865,UKRAINE,"177,816",,
ROVNO,51.328086,25.89903,UKRAINE,"126,697",,
SOUTH UKRAINE,47.812171,31.217726,UKRAINE,"128,031",,
ZAPOROZHE,47.511809,34.58546,UKRAINE,"300,830",,
ARKANSAS ONE,35.31032,-93.231289,USA,"91,183",,
BEAVER VALLEY,40.6219,-80.4339,USA,"382,697",,
BIG ROCK POINT,45.358889,-85.197222,USA,"48,735",,
BONUS,18.366389,-67.268611,USA,"339,080",,
BRAIDWOOD,41.2436,-88.2289,USA,"127,136",,
BROWNS FERRY,34.7042,-87.1186,USA,"168,276",,
BRUNSWICK,33.9583,-78.0106,USA,"133,766",,
BYRON,42.075,-89.2819,USA,"201,320",,
CALLAWAY,38.7583,-91.7817,USA,"38,591",,
CALVERT CLIFFS,38.4347,-76.4419,USA,"164,612",,
CATAWBA,35.0514,-81.0694,USA,"801,726",,
CLINTON,40.1719,-88.8342,USA,"50,302",,
COLUMBIA,46.471111,-119.333889,USA,"126,738",,
COMANCHE PEAK,32.2978,-97.785,USA,"64,877",,
COOPER,40.3619,-95.6411,USA,"15,348",,
CRYSTAL RIVER,28.9572,-82.6989,USA,"101,036",,
CVTR,34.2625,-81.329167,USA,"170,718",,
DAVIS BESSE,41.5972,-83.0864,USA,"88,466",,
DIABLO CANYON,35.2117,-120.854,USA,"145,581",,
DONALD COOK,41.9761,-86.5664,USA,"127,793",,
DRESDEN,41.3897,-88.2711,USA,"313,462",,
DUANE ARNOLD,42.1006,-91.7772,USA,"223,289",,
ELK RIVER,45.295172,-93.5567,USA,"602,790",,
ENRICO FERMI,41.9633,-83.2586,USA,"340,076",,
FARLEY,31.2228,-85.1125,USA,"89,042",,
FITZPATRICK,43.5239,-76.3983,USA,"92,949",,
FORT CALHOUN,41.5208,-96.0767,USA,"299,703",,
FORT STVRAIN,40.244444,-104.874167,USA,"448,015",,
GRAND GULF,32.0075,-91.0481,USA,"18,988",,
H.B. ROBINSON,34.4053,-80.1586,USA,"79,703",,
HADDAM NECK,41.481944,-72.499167,USA,"536,685",,
HALLAM,40.55925,-96.784711,USA,"172,613",,
HATCH,31.9342,-82.3444,USA,"52,844",,
HOPE CREEK,39.4678,-75.5381,USA,"421,764",,
HUMBOLDT BAY,40.741322,-124.209044,USA,"113,742",,
INDIAN POINT,41.2714,-73.9525,USA,"1,018,915",,
KEWAUNEE,44.3431,-87.5361,USA,"67,582",,
LACROSSE,43.560062,-91.231485,USA,"75,739",,
LASALLE,41.2439,-88.6708,USA,"60,699",,
LIMERICK,40.226339,-75.586916,USA,"967,339",,
MAINE YANKEE,43.954023,-69.694494,USA,"96,255",,
MCGUIRE,35.4322,-80.9483,USA,"645,141",,
MILLSTONE,41.3086,-72.1681,USA,"192,720",,
MOCHOVCE,48.26615,18.458943,USA,"192,720",,
MONTICELLO,45.3333,-93.8483,USA,"38,926",,
NINE MILE POINT,43.5222,-76.41,USA,"92,949",,
NORTH ANNA,38.0608,-77.7906,USA,"106,786",,
OCONEE,34.7917,-82.8986,USA,"183,290",,
OYSTER CREEK,39.8142,-74.2064,USA,"389,601",,
PALISADES,42.3222,-86.3153,USA,"58,750",,
PALO VERDE,33.3897,-112.862,USA,"42,535",,
PATHFINDER,43.603611,-96.6375,USA,"205,642",,
PEACH BOTTOM,39.7589,-76.2692,USA,"348,241",,
PERRY,41.8011,-81.1433,USA,"243,984",,
PILGRIM,41.9444,-70.5794,USA,"263,337",,
PIQUA,40.132317,-84.234767,USA,"212,969",,
